meeting,block_id,votes,of,models_voting_yes,speaker,start,text_snippet
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",29,4,5,gemma-4-4b;ministral-8b;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_22,2324.66,good evening my name is Daryl 100 block of the North Mary Street I'm just here today to sort of distill down the question about counselor Diaz's comments so either you believe that she when she didn't respond for a week claimed she hadn't seen it then claimed she was hacked then claimed it was a tee
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",31,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_04,2451.1,next speaker is uh david miller glick of the first block of paper street thank you good evening mr
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",34,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_19,2493.34,towards our black and muslim neighbors that she has been proud to display on social media most recently counselor diaz attacked counselor ahmed's identity as a refugee and in sierra mr
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",38,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_07,2650.47,"good evening good evening everyone hello good evening everyone my name is chandra damal thank Thank you for coming here today. I'm standing here today not just as a support of Janet Diaz, but as someone that knows her through her hard work and her lifelong commitment to this city and its people. Whe"
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",46,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_14,3081.3,"Okay. I'll finish it up. Thank you. You are responsible for what you post on social media, so just be aware of that. think you do owe muslim women an apology thank you thank you mr harris our next speaker yes"
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",47,1,5,qwen3.5-9b-q8,SPEAKER_04,3098.68,madam president next is sandra rosario of washington borough miss rosario good evening
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",48,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_13,3114.61,good evening thank you first of all i want to thank you council members i realize that you have a tough job some do it better than others some go out of their way some do not last year or the year before i believe it was a year before there was a situation going on in the city school district and i 
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",56,3,5,ministral-8b;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_10,3934.58,Jessica Lopez the felon with less felonies than our president huh so let me start by reminding you right that for the last five years I've been here more than every single one of yous in this room so we're user thick today I hope yous are thick in two weeks and I hope you're thick weeks after that b
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",58,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_10,3989.51,will have order in the room now this is the problem because comments that she made opened the door for a white man to sit here and tell a black woman to take off her headdress so i'm the problem i'm the problem apparently and not the person who took an oath to stand for every single body not just th
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",66,4,5,gemma-4-4b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_16,4299.8,"While we know the bill given to me by Janet Diaz to adopt the Citizens Review Board, it has been opposed again by this mayor, along with other important issues Janet presented where none of you seconded."
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",70,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_24,4325.53,mr. doctor thank you good evening I don't have prepared remarks for this session but I did want to make the remark at how odd this all is I mean I've never been to a council meeting without any agenda items now that being said I do appreciate making sure there's a record of meetings making sure the 
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",73,4,5,gemma-4-4b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_22,4596.88,thank you good evening daryl legacy 100 block of north mary again um i just want to make two points one i appreciate the statement of letting it happen at the ballot box and i i'm sure that counselor yes is not going to stand down so i think we're all going to have that so i think that's great that'
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",76,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_17,4803.6,know your last name can you just say your full name oh yeah ashley martinez thank you appreciate
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",77,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_11,4807.52,it thank you um i understand the pain especially from those in the muslim community who are hurting right now the injustice the discrimination it's real and your anger it's about it's valid but you're angry at the wrong person recently there have been hurtful and entirely false claims made against j
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",79,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_07,4977.55,having thank you thank you good evening again um council members community of the members and my family that's here um lately people have been calling these meetings the janet show and i just heard of that some say with laughs some say with frustration but let's talk about what that really means bec
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",82,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_01,5324.27,know how many times i have come here and told you guys that we need some upgrading at crystal park it hasn't been done we are going to open up the summer the west crystal volunteers are opening up the summer with mother's day i cannot secure safety in my neighborhood if the sockets are sticking out 
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",86,3,5,ministral-8b;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_23,5576.14,i did follow up with the administration um the mayor uh council president and director campbell uh director campbell did get back to me today and said that um he will get back to me on i did ask what was the status of the tickets um were there any um uh fines that were uh not waived but you know wer
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",6,1,5,gemma-4-4b,SPEAKER_19,251.34,thank you we have a motion and a second counselors thank you very much for allowing me to introduce this resolution again this year april is sexual assault awareness month and it brings awareness that sexual violence continues to be widespread and affect all members of our community during this mont
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",16,2,5,gemma-4-4b;phi-4,SPEAKER_10,655.08,see the green light there now there we go so over the past few meetings we've heard feedback from the mayor regarding her views on I guess the ineffectiveness of civilian or rewards and the general challenges to reform posed by the city's agreements with the police or police unions to the extent tha
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",29,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_14,1791.28,"Good evening. I'm going to present you. Jessica Lopez, Lancaster City. Hope everybody's having a good evening. let me start by saying that this narrative that it's okay to be on black and brown children for not having bike lights and popping willies in the street needs to stop the conversations that"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",30,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_19,2024.47,you good evening Tony Dasha 700 block of New
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",37,1,5,phi-4,SPEAKER_22,2252.24,the finance committee meeting our finance committee didn't uh during the last committee we heard from director campbell in an update on our budget for year end 2024 as well as the first two months of 2025 some of the highlights include that for year end 2024 most department expenses fell below budge
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",45,1,5,phi-4,SPEAKER_21,2424.84,comments on the motion to approve from the public hearing mr harris mr matt uh mr roy
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",49,1,5,gemma-4-4b,SPEAKER_30,2492.43,"additional comments other than the fact that this bill opens up the possibility for us to to have more options to be able to sell property when the property does come up, which is very rare for the city to have anything to sell."
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",51,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_24,2545.61,"Thank you, Council President. My only question, we did answer some of these prior, but just wanted to make sure that council would still have the authority over the process regards to the use of land and making sure the city's interests are protected and it's a real problem thank you there's Roger d"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",58,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_18,2962.44,"Suzy Gomez, 100 Block and North Roseboro. Just quickly, they would be an extra part of an expense on a subject line. And as I mentioned before, it hurts to go the extra mile to include exactly what Darlene just mentioned. I don't have to repeat it. i don't have to get into it i think she spoke clear"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",59,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_19,3014.44,the public for our first reading good evening hello city council uh my name is richard boas
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",66,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_17,3193.99,council can set parameters for the use and um uh there is not discussion i mean i know that we're talking we're complaining two things because this is related to station six because it is a piece of property that we've been trying to sell i'll just reiterate for council's uh awareness that all of th
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",67,1,5,phi-4,SPEAKER_24,3272.96,pay to the realtor um but who determines who the realtor is so that's a professional service and
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",74,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_14,3444.0,jessica lopez link sdpa um thank you for clarifying that um may i suggest next time that we have something like this we know these things in advance so when these questions come up you're not getting the response that you're getting from the community if you would have have known in advance that the
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",83,2,5,gemma-4-4b;phi-4,SPEAKER_21,3723.4,"Mr. Mayor, ah I say resolution number 25 2025 mr. Harris a resolution of the Council of"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",85,1,5,phi-4,SPEAKER_22,3748.55,"Series of 2018. Motion to approve. Second. We have a motion and a second. Councilor Arroyo. Thank you, Council President. Resolution number 25 pertains to capital projects. As they move forward, funding adjustments are needed as expenses for some projects increase and decrease for others. These adju"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",90,1,5,ministral-8b,SPEAKER_18,3838.03,from the public on the resolution so those um those funds are going into the sewer is that
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",91,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_22,3853.55,"that what you said? Sewer funds? 1.3 million? Yeah, these funds are specific to the sewer fund. So that's going to go on top of the 1.4 surplus and the 3.9 million? This is pertaining to the bond that was funding projects for the 2018 bond, which is separate than what was stated before in the budget"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",92,1,5,ministral-8b,SPEAKER_07,3883.57,clarification did you say that the funds are going to be used toward the sewer projects because that's what she asked and i didn't hear that that were approved in the 2018 we know and now that there are funds that are left over and you're going to put them where and what capital
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",93,3,5,gemma-4-4b;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_22,3902.53,project so that bond approved a series of projects within that right and which where are you going to
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",94,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_07,3908.05,apply that 2 million point what was it 2 million point 3 or something and I'm asking what are those projects are they sewer and water projects or what projects are they they are sewer projects thank you there's a difference
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",95,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_17,3928.55,between capital thank you was referencing was our operating budget capital projects are separate from our operating budget there's a capital budget and operating budget right these are capital costs in the store in this
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",101,1,5,gemma-4-4b,SPEAKER_07,4035.81,um so when when were these projects due to be completed because we're looking at 2018 bonds in 2022 so what project in 2018 was completed and we have money left over but we didn't use that money toward the 2022 when we took out bonds in the 2018 bond issue that we just addressed then on the 2022 lis
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",104,1,5,phi-4,SPEAKER_19,4167.06,thank you thank you and I do think I don't see director Campbell either actually but there's your Tina Campbell I believe you had presented these with uh could you just speak very briefly if these are available uh online as well
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",111,2,5,gemma-4-4b;phi-4,SPEAKER_19,4363.2,"Thank you very much, Councillor Hirsch. Just a question for you, because you mentioned it, and I want to put a fine point on it. The point of this funding application, this application for funding, is to complete lead line replacement at no cost to residents."
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",112,1,5,phi-4,SPEAKER_05,4380.48,"Correct. Thank you. And that could range depending on, my understanding is, it could range depending on what the nature of that, because there's the pot-bullying procedure, which a more expensive way of figuring out what the what the material is um and then there's you know from that to the full rep"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",113,1,5,phi-4,SPEAKER_07,4411.54,on the resolution from the public you say there's going to be no call starting bird and street no cost to the residents but if it's a loan because right now you're applying for a loan it's not a grant so if we don't get a grant where there be other action by council to vote on if it's a loan because
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",117,2,5,ministral-8b;phi-4,SPEAKER_07,4496.76,right so I mean I just want to clarify that because if we're getting a loan there is going to be a cost to the taxpayer I was going to pay right and
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",118,1,5,phi-4,SPEAKER_19,4506.64,okay yes our rate payers may see an impact if this is a loan on a grant
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",119,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_07,4513.56,let me just this question so I don't have to get up again and so the purpose of applying for two separate applications that reason is because I know we have an application fee why can't we not combine them both for one application for Penn Vest? I think it's just because of the nature of these two
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",123,1,5,phi-4,SPEAKER_19,4572.44,could it would be nice but they don't allow it and if I recall correctly I
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",124,1,5,phi-4,SPEAKER_05,4577.04,"think that's the city is trying to do that because by focusing on specific neighborhoods where there's a high number of known service lines that need to be replaced, that those could be lumped together to exactly what you're saying, like reduce that amount of fees so we don't have to pay each time a"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",130,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_05,4706.36,basically accelerated the timeline on this process mm-hmm and out of the interior lines as well I didn't know I don't know if you want to speak to that
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",131,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_17,4716.54,"Mr. Rauch just to say the city has been replacing lead laterals off the water lines for decades which is why we have so few the the new law that has been passed both accelerates the remaining replacement of those lead lines those laterals of which there are less than 1% out of the 50,000 lines that "
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",132,2,5,ministral-8b;phi-4,SPEAKER_18,4796.43,problem it's always been a problem and it's I'm sorry once it then when when is the deadline hearse no the deadline that you have we're already at the 10th year then no it's from now it starts any years from now yeah thank you miss
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",138,1,5,gemma-4-4b,SPEAKER_24,4969.45,"number 28 Thank you, Council President. I just want, maybe just questions for Director Campbell. The interim financing as well as the PennVest loan, we've looked at the budgetary impact it would have, and it is aligned with our projections."
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",145,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_24,5056.68,"From the graphs that we had when we did the bond Presentation, it had the pedestal in gold or in a different color and that was not a part of the original bond, but that budget tear impact was still projected out over the life of the bond."
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",147,4,5,gemma-4-4b;ministral-8b;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_07,5077.46,So we're talking about maybe $90 million we will be borrowing and taxpayers will be footing that bill?
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",148,3,5,ministral-8b;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_19,5085.15,Rate payers in the water system?
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",149,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_07,5088.29,"Tax payers. Oh, rate payers will pay? The $90 million utility? Yes. Even for the PennVest loan? Correct. Okay, very good. Infrastructure is extremely expensive. I have learned this. It really is. And since we do have 10 years, and I did attend a water meeting that the Public Works Department put on,"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",150,2,5,gemma-4-4b;phi-4,SPEAKER_17,5186.98,talking about two different things i am so appreciative that you went to the combined sewer overflow meeting which i'm going to actually give in my talk about my mayor's report that is different than the 10-year timeline for the lead and copper rule so we're talking about three different things toni
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",152,1,5,phi-4,SPEAKER_18,5231.94,mayor i'm listening to what you're saying you're talking about three different things but we are also talking about um funding that was uh available from to that to 2018 to 2022 that is being moved over into administrative projects or other other you know projects that could be used for purposes suc
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",153,1,5,qwen3.5-9b-q6,SPEAKER_19,5272.52,for that are you speaking about the what as far as the bonds yeah which you're gonna get her a copy of where that's going to we can't change the bond at the
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",154,1,5,qwen3.5-9b-q6,SPEAKER_18,5286.36,allocations of those funds ministry but you could use it for some of that so
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",155,2,5,phi-4;qwen3.5-9b-q6,SPEAKER_17,5290.12,that the bond can decrease no that's not true you can't I think mr. Harris just mentioned that it's available on the website with the materials for the meeting. It lists the projects from 2018. That was for the sewer fund. Then there's the water fund. Those were projects from 2022. Those are project
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",156,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_18,5328.26,I understand that but projects with funding left over should be used by council for specific reasons to not burden the taxpayer so much you know I mean there's got to be other ways that you can use that we're not the experts we're the taxpayers we pay you the salary so that you can figure it out I m
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",160,1,5,ministral-8b,SPEAKER_21,5420.2,mr. Harris
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",171,3,5,ministral-8b;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_07,5737.01,resolution 31 from the public Darlene Byrd I heard you say on the other one for South End Park that you were looking for a match from other grants does this require a match Director Tina Campbell is nodding yes and where do we plan on getting that match for this I do not know okay so we're gonna app
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",172,3,5,gemma-4-4b;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_08,5789.01,resolution 31 it's coming from the 2025 bond funds that were just approved thank
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",173,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_07,5797.38,you so we already borrowed the money for the match for this project through the
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",179,3,5,ministral-8b;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_29,6396.93,"D'Astra, 700 block of New Holland Avenue. Act three, a vision for public involvement. If acts one and two were about access and process, this final part is about voice, about creating spaces where the community can engage with institutions that serve them. Yesterday I introduced online a draft ordin"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",184,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_19,6977.82,"I've been communicating with Ms. Berg and Director Campbell,"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",185,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_18,6981.12,"Okay, well it's my time, so I wish Art Morris was here so I can just clearly state that has anyone ever seen the one-wheel bikers that are cross, go throughout our streets, that basically interfere with traffic, they run in and out of cars, I know you all seen them, it's one-wheel bike and there's a"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",186,1,5,qwen3.5-9b-q8,SPEAKER_19,7169.8,much this is too much
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",188,1,5,qwen3.5-9b-q8,SPEAKER_19,7315.06,"May I respond to that, Ms. Lopez? Thank you. First of all, I agree that the comment was racist and disgusting. Second, I couldn't see it because she has me blocked."
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",192,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_19,7355.4,chair because she don't belong there i would like to have a longer conversation about this but diana's just speaking generalities that i know it's very difficult to remove a municipal government member in the state of pennsylvania it's a state matter but um yes that's my short version of that answer
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",193,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_14,7377.08,say much more but that speaks to the people watching on live to really really pay attention of who we're putting in these seats that we can't remove once they get there thank you
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",196,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_09,7558.68,"It is a very brief question, and I appreciate that. Thank you so much. Last week, I did have a question about the water rates and how we're going to be impacted as residents the percentage that we might anticipate of the water rates going up as a result of the improvement projects I found myself so "
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",6,1,5,gemma-4-4b,SPEAKER_19,251.34,thank you we have a motion and a second counselors thank you very much for allowing me to introduce this resolution again this year april is sexual assault awareness month and it brings awareness that sexual violence continues to be widespread and affect all members of our community during this mont
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",16,2,5,gemma-4-4b;phi-4,SPEAKER_10,655.08,see the green light there now there we go so over the past few meetings we've heard feedback from the mayor regarding her views on I guess the ineffectiveness of civilian or rewards and the general challenges to reform posed by the city's agreements with the police or police unions to the extent tha
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",29,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_14,1791.28,"Good evening. I'm going to present you. Jessica Lopez, Lancaster City. Hope everybody's having a good evening. let me start by saying that this narrative that it's okay to be on black and brown children for not having bike lights and popping willies in the street needs to stop the conversations that"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",30,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_19,2024.47,you good evening Tony Dasha 700 block of New
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",37,1,5,phi-4,SPEAKER_22,2252.24,the finance committee meeting our finance committee didn't uh during the last committee we heard from director campbell in an update on our budget for year end 2024 as well as the first two months of 2025 some of the highlights include that for year end 2024 most department expenses fell below budge
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",45,1,5,phi-4,SPEAKER_21,2424.84,comments on the motion to approve from the public hearing mr harris mr matt uh mr roy
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",49,1,5,gemma-4-4b,SPEAKER_30,2492.43,"additional comments other than the fact that this bill opens up the possibility for us to to have more options to be able to sell property when the property does come up, which is very rare for the city to have anything to sell."
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",51,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_24,2545.61,"Thank you, Council President. My only question, we did answer some of these prior, but just wanted to make sure that council would still have the authority over the process regards to the use of land and making sure the city's interests are protected and it's a real problem thank you there's Roger d"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",58,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_18,2962.44,"Suzy Gomez, 100 Block and North Roseboro. Just quickly, they would be an extra part of an expense on a subject line. And as I mentioned before, it hurts to go the extra mile to include exactly what Darlene just mentioned. I don't have to repeat it. i don't have to get into it i think she spoke clear"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",59,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_19,3014.44,the public for our first reading good evening hello city council uh my name is richard boas
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",66,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_17,3193.99,council can set parameters for the use and um uh there is not discussion i mean i know that we're talking we're complaining two things because this is related to station six because it is a piece of property that we've been trying to sell i'll just reiterate for council's uh awareness that all of th
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",67,1,5,phi-4,SPEAKER_24,3272.96,pay to the realtor um but who determines who the realtor is so that's a professional service and
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",75,1,5,phi-4,SPEAKER_19,3564.71,"Thank you. I can somewhat address that, although it lies a little bit out of my technical expertise, but the resolution specifically references record retention and disposition schedules um and it is um that is set by um pardon i'm just going through and reading here records of pennsylvania municipa"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",82,1,5,phi-4,SPEAKER_21,3723.4,"Mr. Mayor, ah I say resolution number 25 2025 mr. Harris a resolution of the Council of"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",90,1,5,gemma-4-4b,SPEAKER_22,3853.55,"that what you said? Sewer funds? 1.3 million? Yeah, these funds are specific to the sewer fund. So that's going to go on top of the 1.4 surplus and the 3.9 million? This is pertaining to the bond that was funding projects for the 2018 bond, which is separate than what was stated before in the budget"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",93,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_07,3908.05,apply that 2 million point what was it 2 million point 3 or something and I'm asking what are those projects are they sewer and water projects or what projects are they they are sewer projects thank you there's a difference
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",98,2,5,gemma-4-4b;phi-4,SPEAKER_22,3986.74,motion and a second that's all right thank you this resolution for 20 or excuse me this resolution is similar to resolution number 25 um except this is for uh this pertains to the 2022 water fund um the adjustments total 5.3 million dollars thank you very much council
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",102,2,5,gemma-4-4b;phi-4,SPEAKER_07,4090.38,just got completed in now in 2024 and we found out that this money is left over yes projects do take several years right and now okay let me ask you a little bit differently right i don't think you're following me so in 2018 we had projects that were we took out bonds for the sewer and those project
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",105,1,5,phi-4,SPEAKER_19,4202.97,that are online okay all right so attached directly to the council agenda thank you okay appreciate that but still happy to send them might have them in my email once i can get to it i will have tabs open any additional comments from the public on resolution number 26.
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",110,1,5,gemma-4-4b,SPEAKER_19,4363.2,"Thank you very much, Councillor Hirsch. Just a question for you, because you mentioned it, and I want to put a fine point on it. The point of this funding application, this application for funding, is to complete lead line replacement at no cost to residents."
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",116,1,5,gemma-4-4b,SPEAKER_07,4496.76,right so I mean I just want to clarify that because if we're getting a loan there is going to be a cost to the taxpayer I was going to pay right and
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",117,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_19,4506.64,okay yes our rate payers may see an impact if this is a loan on a grant
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",119,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_05,4533.86,"projects are totally different. Like one is related to the interior service line and then the other is for the water main that is going from Susquehanna to the treatment plant, from the treatment plant to the distribution network. So it's not a"
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",120,1,5,phi-4,SPEAKER_07,4550.74,guideline through Penn Vest that we can apply for one and get and only pay one application fee instead of applying for two separate applications and paying two
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",121,1,5,phi-4,SPEAKER_17,4561.28,separate application fees okay that's what I was asking if there was a way we
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",122,1,5,phi-4,SPEAKER_19,4572.44,could it would be nice but they don't allow it and if I recall correctly I
